carrier,serving_cellset,count
310260,126510-203/293-1125/293-5035,2
310260,512190-74/87-1125,1
310260,512190-74/87-1125/87-68886,1
310260,512190-74/87-1125/87-68886/87-5035,1
310260,495-2300/495-1125,3
310260,496-2300/496-1125,3
310260,126510-203/43-2300/43-5035/43-5035,1
310260,126510-311/43-2300/43-5035/43-5035,1
310260,126510-74/279-66786,2
310260,126510-74/279-2300/279-5035,1
310260,203-66786,4
310260,160-5035/160-2300/160-1125,5
310260,512190-234/311-2300/311-68886/311-5035,1
310260,126510-311/206-66786/279-1125/279-5035,1
310260,126510-317/203-1125,2
310260,126510-317/203-1125/203-68886,1
310260,180-8665/443-1125/443-5035,2
310260,487-2300/487-47291/487-47090/487-1125,2
310260,126510-87/493-1125/43-1125/43-5035,1
310260,126510-140/206-1125,2
310260,126510-140/206-1125/43-5035,2
310260,126510-190/43-1125,1
310260,126510-190/43-1125/43-5035,1
310260,126510-62/206-1125/43-5035/43-5035,1
310260,126510-311/293-1125/293-5035,34
310260,126510-386/293-1125,1
