carrier,serving_cellset,count
46000,39148-472/38950-473,1
46000,1300-17,22
46000,38950-436,22
46000,38950-479/39148-476,2
46000,38950-23,19
46000,38950-23/39148-23,1
46000,38950-64/39148-23,2
46000,38950-64,3
46000,38950-64/39148-64,1
46000,1400-385/39148-64,1
46000,38950-481/39148-482,1
46000,38950-497/39148-496,1
46000,38950-476/39148-497,1
46000,38950-481/39148-476,1
46000,39292-344,2
46000,39292-432,2
46000,39148-427,4
46000,39148-427/38950-427,1
46000,39148-426/38950-427,2
46000,1300-360,24
46000,39292-59,14
46000,39292-57,2
46000,1300-7/38950-496,1
46000,38950-255,2
46000,38950-327,1
46000,38950-327/39148-327,1
46000,38950-256/39148-327,2
46000,38950-256,3
46000,3683-429,9
46000,1300-322,1
46000,40936-272,1
46000,1300-94,2
46000,1300-140,1
46000,37900-316,11
46000,37900-185,2
46000,37900-378,29
46000,37900-379,5
46000,37900-214,24
46000,37900-209,10
46000,38098-96,12
46000,38098-425,6
46000,38098-373,40
46000,1300-481,7
46000,1300-5,28
46000,38098-478,12
46000,38098-433,16
46000,1300-261,18
46000,3683-492,12
46000,1300-263,5
46000,37900-116,4
46000,38098-259,9
46000,37900-197,6
46000,37900-195,10
46000,40936-196,25
46000,38098-196,13
46000,1300-49,4
46000,1300-133,1
46000,1300-2,32
46000,1300-168,37
46000,37900-475,29
46000,38098-475,6
46000,1300-169,13
46000,1300-170,21
46000,37900-474,17
46000,38098-474,13
46000,40936-474,4
46000,1300-200,8
46000,1300-302,3
46000,1300-303,5
46000,37900-430,8
46000,38098-430,8
46000,37900-139,11
46000,1300-455,14
46000,1300-226,1
46000,1300-453,13
46000,1300-389,28
46000,37900-138,10
46000,38098-138,4
46000,1300-362,6
46000,1300-211,8
46000,3683-143,619
46000,1375-23,241
46000,38400-130,113
46000,38400-60,32
46000,38400-43,176
46000,3683-265,507
46000,1375-450,1
46000,37900-203,9
46000,1375-452,6
46000,1375-451,2
46000,3683-266,1
46000,37900-201,9
46000,1375-58,1
