ts operator freq cid missing_flag_new
2019-05-06 01:39:28.409489 310120 976 257 False
2019-05-06 01:39:50.146884 310120 976 257 False
2019-05-06 01:40:35.405198 310120 976 257 False
2019-05-06 01:40:38.485528 310120 976 351 False
2019-05-06 01:40:50.275230 310120 976 257 False
2019-05-06 01:41:34.024109 310120 976 257 False
2019-05-06 01:19:35.529345 310120 5035 96 False
2019-05-06 01:19:36.299463 310120 5035 96 False
2019-05-06 01:19:53.297180 310120 5035 128 False
2019-05-06 01:19:53.750435 310120 5035 128 False
2019-05-06 01:19:55.284146 310120 5035 128 False
2019-05-06 01:19:55.367981 310120 5035 128 False
2019-05-06 01:20:35.728967 310120 5035 128 False
2019-05-06 01:21:19.020309 310120 5035 128 False
2019-05-06 01:21:20.581448 310120 5035 128 False
2019-05-06 01:21:20.664625 310120 66561 157 False
2019-05-06 02:37:36.330018 310120 1125 358 False
2019-05-06 02:37:36.274249 310120 1125 358 False
2019-05-06 02:38:01.703145 310120 1125 358 False
2019-05-06 02:38:01.786883 310120 5035 53 False
2019-05-06 02:38:02.110510 310120 5035 53 False
2019-05-06 02:38:08.495833 310120 926 60 False
2019-05-06 02:38:22.894071 310120 926 60 False
2019-05-06 02:38:29.082031 310120 5035 53 False
2019-05-06 02:38:29.326871 310120 5035 53 False
2019-05-06 02:38:29.452140 310120 5035 53 False
2019-05-06 03:13:59.956723 310120 66586 368 False
2019-05-06 03:14:00.251753 310120 5035 462 False
2019-05-06 03:14:00.325535 310120 5035 462 False
2019-05-06 03:14:01.506949 310120 5035 462 False
2019-05-06 03:14:02.155049 310120 5035 462 False
2019-05-06 03:14:06.509514 310120 5035 462 False
2019-05-06 03:14:08.243780 310120 5035 462 False
2019-05-06 03:14:40.210302 310120 5035 462 False
2019-05-06 03:14:55.248899 310120 5035 462 False
2019-05-06 03:15:19.239470 310120 5035 462 False
2019-05-06 02:23:35.970450 310120 5035 462 False
2019-05-06 02:23:37.840040 310120 5035 462 False
2019-05-06 02:23:48.444417 310120 5035 102 False
2019-05-06 02:23:48.850063 310120 5035 102 False
2019-05-06 02:23:56.448969 310120 5035 102 False
2019-05-06 02:23:59.160420 310120 5035 102 False
2019-05-06 02:24:02.528017 310120 5035 102 False
2019-05-06 02:24:04.994054 310120 5035 103 False
2019-05-06 02:24:15.162635 310120 5035 103 False
2019-05-06 02:24:27.122672 310120 5035 103 False
2019-05-06 02:24:53.269301 310120 5035 103 False
2019-05-06 01:58:33.642088 310120 66611 332 False
2019-05-06 01:58:34.400687 310120 66611 332 False
2019-05-06 01:58:34.800148 310120 5035 40 False
2019-05-06 01:58:43.495847 310120 5035 40 False
2019-05-06 01:58:43.580873 310120 5035 40 False
2019-05-06 01:58:49.877809 310120 66611 268 False
2019-05-06 01:58:50.541701 310120 66611 268 False
2019-05-06 01:58:54.248005 310120 901 197 False
2019-05-06 01:59:03.831267 310120 901 197 False
2019-05-06 01:59:06.880884 310120 901 197 False
2019-05-06 01:59:07.280025 310120 5035 320 False
2019-05-06 01:59:10.911733 310120 5035 40 False
2019-05-06 01:59:10.981484 310120 5035 40 False
2019-05-06 01:59:11.270058 310120 5035 40 False
2019-05-06 01:59:13.701777 310120 5035 40 False
2019-05-06 01:59:13.780773 310120 5035 40 False
2019-05-06 01:59:27.534063 310120 66611 268 False
2019-05-06 01:59:28.531773 310120 5035 40 False
2019-05-06 01:59:28.584610 310120 5035 40 False
2019-05-06 01:59:28.900138 310120 5035 40 False
2019-05-06 02:05:10.638117 310120 5035 332 False
2019-05-06 02:05:11.256295 310120 5035 332 False
2019-05-06 02:06:02.654232 310120 5035 332 False
2019-05-06 01:16:33.256962 310120 66586 368 False
2019-05-06 01:16:44.961893 310120 66586 368 False
2019-05-06 01:16:47.986857 310120 66586 368 False
2019-05-06 01:17:10.256825 310120 66561 122 False
2019-05-06 01:17:12.636376 310120 66561 34 False
2019-05-06 01:18:03.285834 310120 66561 34 False
2019-05-06 01:18:20.565152 310120 66561 33 False
2019-05-06 01:19:14.185497 310120 66561 254 False
2019-05-06 02:36:28.807065 310120 66561 252 False
2019-05-06 02:36:34.952035 310120 5035 198 False
2019-05-06 02:36:36.756535 310120 5035 198 False
2019-05-06 02:36:37.281311 310120 5035 198 False
2019-05-06 02:36:48.362074 310120 5035 198 False
2019-05-06 02:36:49.652509 310120 5035 198 False
2019-05-06 02:36:51.016256 310120 5035 198 False
2019-05-06 02:36:51.409364 310120 5035 205 False
2019-05-06 01:56:03.168105 310120 5035 225 False
2019-05-06 01:56:04.332995 310120 5035 225 False
