ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 38400 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 40936 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 38544 False True sib3 True 6 5 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 3683 False True sib3 True 6 4 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 100 False True sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 38950 False True sib3 True 6 7 None TAC 34603 35603 [-666, -666] True True
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 1275 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 37900 None None sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 38400 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 40936 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 38544 False True sib3 True 6 5 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 3683 False True sib3 True 6 4 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:53.704219 9114392 PCI 248 EARFCN 38098 100 False True sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 38950 False True sib3 True 6 7 None TAC 34603 35603 [-666, -666] True True
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 1275 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 37900 None None sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 38400 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 40936 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 38544 False True sib3 True 6 5 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 3683 False True sib3 True 6 4 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:56.601864 9114392 PCI 248 EARFCN 38098 100 False True sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-01 03:28:05.659095 112930055 PCI 7 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:28:19.034312 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:27:42.376326 112930063 PCI 9 EARFCN 40936 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:27:43.679368 112930057 PCI 9 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:27:45.521313 112930060 PCI 9 EARFCN 37900 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:27:56.946878 112930063 PCI 9 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:27:58.570762 112930060 PCI 9 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:28:01.721939 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-07-01 03:21:42.399282 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-07-01 03:21:47.449421 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-07-01 03:22:05.045207 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-07-01 03:22:10.013048 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-07-01 03:22:31.986781 144709440 PCI 454 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28973 565271 [-666, -666] False False
2019-07-01 03:44:39.633991 144700481 PCI 453 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28934 565236 [-666, -666] False False
2019-07-01 03:26:15.144591 112849163 PCI 454 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 440817 [-666, -666] False False
2019-07-01 03:26:16.935894 112849159 PCI 453 EARFCN 38098 1375 None None sib3 True 6 None None TAC 28699 440817 [-666, -666] False False
2019-07-05 09:49:38.557979 112939014 PCI 488 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28978 441168 [-666, -666] False False
2019-07-05 09:49:40.936278 112939020 PCI 488 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28978 441168 [-666, -666] False False
2019-07-05 09:49:48.518029 112939017 PCI 458 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28978 441168 [-666, -666] False False
2019-07-05 09:49:50.706276 112939014 PCI 488 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28978 441168 [-666, -666] False False
2019-07-05 10:37:42.017717 112815620 PCI 456 EARFCN 38098 3683 None None sib3 True 6 None None TAC 28711 440686 [-666, -666] False False
2019-07-05 09:47:15.814470 113021448 PCI 484 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28978 441490 [-666, -666] False False
2019-07-05 09:47:39.642883 113021445 PCI 405 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28978 441490 [-666, -666] False False
2019-05-21 23:14:25.984255 160807450 PCI 412 EARFCN 38098 38950 None None sib3 True 5 None None TAC 34400 628154 [-666, -666] False False
2019-05-21 23:07:48.188011 145250073 PCI 490 EARFCN 38098 1275 None None sib3 True 5 None None TAC 35029 567383 [-666, -666] False False
2019-05-21 23:13:01.776501 144957717 PCI 251 EARFCN 37900 38098 None None sib3 True 5 None None TAC 34400 566241 [-666, -666] False False
2019-05-21 23:13:06.672054 144957719 PCI 249 EARFCN 37900 1275 None None sib3 True 5 None None TAC 34400 566241 [-666, -666] False False
2019-05-21 23:13:49.751644 144957718 PCI 250 EARFCN 37900 1275 None None sib3 True 5 None None TAC 34400 566241 [-666, -666] False False
2019-06-11 09:14:11.525905 112813062 PCI 353 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28710 440676 [-666, -666] False False
2019-06-11 09:14:13.165489 112813068 PCI 429 EARFCN 40936 1375 None None sib3 True 6 None None TAC 28710 440676 [-666, -666] False False
2019-06-11 07:37:31.536900 112954116 PCI 155 EARFCN 38098 3683 None None sib3 True 6 None None TAC 28730 441227 [-666, -666] False False
2019-06-11 07:38:02.346785 112954116 PCI 155 EARFCN 38098 1375 None None sib3 True 6 None None TAC 28730 441227 [-666, -666] False False
2019-06-11 07:38:19.033769 112954116 PCI 155 EARFCN 38098 3683 None None sib3 True 6 None None TAC 28730 441227 [-666, -666] False False
2019-06-11 08:04:19.741980 112815119 PCI 266 EARFCN 40936 1375 None None sib3 True 6 None None TAC 28716 440684 [-666, -666] False False
2019-06-11 09:26:20.110839 112815118 PCI 265 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28716 440684 [-666, -666] False False
2019-06-11 09:27:10.120319 78632068 PCI 259 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28716 307156 [-666, -666] False False
2019-06-11 09:27:12.314064 78632070 PCI 477 EARFCN 37900 1375 None None sib3 True 6 None None TAC 28716 307156 [-666, -666] False False
2019-06-11 07:50:40.194105 112787721 PCI 371 EARFCN 37900 1350 None None sib3 True 6 None None TAC 28980 440577 [-666, -666] False False
2019-06-15 07:26:01.935367 112939020 PCI 488 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28978 441168 [-666, -666] False False
2019-06-15 06:17:17.125070 113406219 PCI 8 EARFCN 37900 3683 None None sib3 True 6 None None TAC 28961 442993 [-666, -666] False False
2019-06-15 07:12:23.031490 113006855 PCI 438 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28718 441433 [-666, -666] False False
2019-06-15 07:18:00.560212 111726344 PCI 408 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28978 436431 [-666, -666] False False
2019-06-15 07:11:37.017924 112995848 PCI 429 EARFCN 38098 1375 None None sib3 True 6 None None TAC 28718 441390 [-666, -666] False False
2019-06-15 05:52:40.329486 112787721 PCI 371 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28980 440577 [-666, -666] False False
2019-06-15 05:54:16.211977 78375813 PCI 77 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28727 306155 [-666, -666] False False
2019-06-15 07:06:00.882917 78728065 PCI 255 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28967 307531 [-666, -666] False False
2019-06-15 07:22:08.455872 113021448 PCI 484 EARFCN 38098 1350 None None sib3 True 6 None None TAC 28978 441490 [-666, -666] False False
2019-06-15 06:55:35.190772 113108228 PCI 168 EARFCN 38098 3683 None None sib3 True 6 None None TAC 28967 441829 [-666, -666] False False
2019-06-15 06:51:05.891522 78728065 PCI 255 EARFCN 37900 1350 None None sib3 True 6 None None TAC 28967 307531 [-666, -666] False False
