ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-09-29 18:09:01.200190 49921760 PCI 396 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19980 195006 [-666, -666] False False
2019-09-29 18:05:28.796764 49414354 PCI 413 EARFCN 1150 2000 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-29 18:05:41.081386 49942296 PCI 104 EARFCN 2000 1150 None None sib3 True 4 None ATT TAC 19980 195087 [-666, -666] False False
2019-09-29 18:06:55.134301 49412050 PCI 88 EARFCN 1150 850 None None sib3 True 4 None ATT TAC 19980 193015 [-666, -666] False False
2019-09-29 18:30:51.258258 49414352 PCI 411 EARFCN 1150 2425 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-06-09 21:57:18.661981 48897558 PCI 329 EARFCN 2000 9820 None None sib3 True 4 None ATT TAC 19980 191006 [-666, -666] False False
2019-06-09 22:32:47.484272 48897544 PCI 166 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19980 191006 [-666, -666] False False
2019-06-09 22:32:51.687866 48897558 PCI 329 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19980 191006 [-666, -666] False False
2019-06-09 22:33:22.910138 48897544 PCI 166 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191006 [-666, -666] False False
2019-06-09 22:15:30.745530 49921546 PCI 96 EARFCN 850 2175 None None sib3 True 4 None ATT TAC 19980 195006 [-666, -666] False False
2020-02-01 13:41:16.114296 49416087 PCI 170 EARFCN 9820 850 None None sib3 True 4 None ATT TAC 19980 193031 [-666, -666] False False
2020-02-01 13:41:47.211639 49415945 PCI 268 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 193031 [-666, -666] False False
2020-02-01 14:08:05.237616 48665823 PCI 207 EARFCN 66661 2175 None None sib3 True 4 None ATT TAC 19979 190100 [-666, -666] False False
2020-02-01 14:08:15.092960 48665623 PCI 252 EARFCN 66486 2000 None None sib3 True 4 None ATT TAC 19979 190100 [-666, -666] False False
2020-02-01 14:08:21.310109 49174040 PCI 334 EARFCN 66486 850 None None sib3 True 4 None ATT TAC 19979 192086 [-666, -666] False False
2020-02-01 13:58:42.334029 48909321 PCI 269 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19980 191052 [-666, -666] False False
2020-02-01 13:37:21.225513 49410058 PCI 34 EARFCN 850 5145 None None sib3 True 4 None ATT TAC 19980 193008 [-666, -666] False False
2020-02-01 14:20:12.417814 49182486 PCI 390 EARFCN 66486 850 None None sib3 True 4 None ATT TAC 19979 192119 [-666, -666] False False
2020-02-01 14:11:30.733752 48647434 PCI 476 EARFCN 850 5110 None None sib3 True 4 None ATT TAC 19979 190029 [-666, -666] False False
2019-05-30 15:40:23.773021 132849201 PCI 462 EARFCN 40072 8665 None None sib3 True 6 None Sprint TAC 16187 518942 [-666, -666] False False
2019-05-30 15:40:44.546867 132873265 PCI 460 EARFCN 40072 8665 None None sib3 True 6 None Sprint TAC 16187 519036 [-666, -666] False False
2019-04-10 18:23:20.312877 49926368 PCI 329 EARFCN 66661 1150 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 18:09:58.033947 49926368 PCI 329 EARFCN 66661 850 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 18:27:21.101831 49926368 PCI 329 EARFCN 66661 1150 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 18:05:56.472897 49926368 PCI 329 EARFCN 66661 850 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 18:11:09.055762 49926168 PCI 44 EARFCN 2000 850 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 17:58:53.697892 49926368 PCI 329 EARFCN 66661 1150 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 18:24:50.165003 49926354 PCI 413 EARFCN 1150 850 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
2019-04-10 18:19:06.958969 49926368 PCI 329 EARFCN 66661 1150 None None sib3 True 3 None ATT TAC 19980 195024 [-666, -666] False False
